review_uid,destination,pool,stars,text_clean,aspecto,label
gm_deadd655464718ef,Catarata de Ahuashiyacu,A_representativo,5,"Muy relajante, super hermosa, es lo mejor de la naturaleza, para darse un chapuzón y tomarse muchas fotitos .",atractivos,positivo
gm_4128e88bc3b925d2,Catarata de Ahuashiyacu,A_representativo,4,"Muy bonita, lo malo es qué hay mucha gente y no se pueden hacer muchas tomas ya que todos tienen que tomarse.",atractivos,positivo
gm_dc1c5c6c90c6b5c7,Catarata de Ahuashiyacu,A_representativo,5,"Beautiful waterfall, hike us easy, well maintained, paved with handrails in spots that could be tricky. Lots of steps, not too steep but if you have problems with your knees you will just go a little slower.",atractivos,positivo
gm_7013e9207318f26f,Catarata de Ahuashiyacu,A_representativo,3,"Bonito Lugar para conocer cerca a Tarapoto, donde la naciente de un río en las alturas del cerro escalera forma la caída de un chorro que da origen al río Ahuashiyacu. Bañarse en estas aguas frescas al amanecer es un buen relajante para iniciar nuevamente. Visítenlo.",atractivos,positivo
gm_23bc24deee977c0f,Catarata de Ahuashiyacu,A_representativo,4,Super bonito la entrada es barata y esta bien mantenido /podria tener mas cambiadored,atractivos,positivo
gm_b30d76f7789873bc,Catarata de Ahuashiyacu,A_representativo,5,"Maravilloso. Recomiendo llevar protector para celular contra agua, si es que se van a tomar fotos",atractivos,positivo
gm_ae9d7ba607844b85,Catarata de Ahuashiyacu,A_representativo,5,"Un lugar increíble que tienen que conocer sin dudar, una caída de agua espectacular, no es tan ondo, la temperatura del agua esta en su punto ni tan fría ni tan caliente, perfecto para ir en familia, están dejando entrar a niños la entrada cuesta 10 soles y tiene duración de 1 hora en el lugar. En el mismo lugar puedes entrar a conocer la catarata golondrina o llegamos allá pero ahí dentro del lugar estar también.",atractivos,positivo
gm_8626e51e0414415d,Catarata de Ahuashiyacu,A_representativo,5,"Un !Ugarte espectacular, lindo por donde vayas. El trato del personal que te hace la movilidad siempre amables. Muy atentos a las preguntas... Dentro de las cataratas tu mismo eres, nadie te guía, no te dan folletos. Es turismo vivencial 100%",atractivos,positivo
gm_9a4a7b3ae76b5fe5,Catarata de Ahuashiyacu,A_representativo,5,"Muy bonito lugar, cerca a Tarapoto. Se puede bañar en la poza de la catarata.",atractivos,positivo
gm_ec39fd15d7716947,Catarata de Ahuashiyacu,A_representativo,5,"Bonito lugar, de preferencia lleven repelente por la cantidad de mosquitos y zancudos que hay.",atractivos,positivo
gm_eeee1366859b48e4,Catarata de Ahuashiyacu,A_representativo,5,Muy bonito sus paisajes y la catarata excelente para conocer y disfrutar de lo nuestro esto es en Tarapoto Perú,atractivos,positivo
gm_fbfc6e08407a7cc0,Catarata de Ahuashiyacu,A_representativo,3,"Hermosa catarata, trayecto corto y agua helada. El paseo termina normalmente al mediodía por la lluvia.",atractivos,positivo
gm_09744a0fcaa138f0,Catarata de Ahuashiyacu,A_representativo,5,"Es un lugar maravilloso, divino, con el agua muy cristalina y con un baño sales renovada. Enamorada de las Cataratas de Ahushiyaco. Regresaré 😍",atractivos,positivo
gm_46f00f18e4d84334,Catarata de Ahuashiyacu,A_representativo,5,"Bonito lugar con la naturaleza, llevar repelente hartos Mozquitos, de preferencia llamar por que dicen que hay días que hay lluvias fuertes y la catarata esta no accesible y no puedes ingresar por seguridad y cierran todo el dia",atractivos,positivo
gm_12c81cd75066683f,Catarata de Ahuashiyacu,A_representativo,5,"El lugar 10/10, hay espacio para estacionar, la entrada cuesta 10 soles (6soles si eres del pueblo) el agua es un poco fría pero muy buena, de la pista a la poza serán 5minutos aproximadamente de caminata (son escalones)",atractivos,ausente
gm_ef432b6edfe37d6c,Catarata de Ahuashiyacu,A_representativo,5,"La atracción es bella, la catarata es linda el paisaje es precioso pero nuevamente la afluencia hace que sea tedioso para entrar tienes que compartir la misma escalera con las personas que están de salida y muchas no son muy amables sin importar que vayas con niños o mayores de edad muchas veces empujan, las escaleras son angostas... Por lo demás nos dieron solo una hora para visitar el sitio lo cual me parece bien es más que suficiente para conocerla y tomarse fotos. La entrada está 10 soles y los niños menores de 5 años no pagan ✌️... Afuera venden comida y puedes esperar tranquila para entrar, adentro también venden comida pero es un poco más caro, aunque si eres ahorrador como yo compras tus botellas de agua en el mercado al por mayor y te dura el tiempo de la visita 😉",atractivos,positivo
gm_87be0c5d0f976006,Catarata de Ahuashiyacu,A_representativo,5,"El lugar es mágico, la naturaleza esta increíblemente cuidada en la zona y las fotos salen espectaculares",atractivos,positivo
gm_4c6c28f60dc925bb,Catarata de Ahuashiyacu,A_representativo,5,"Excelente lugar para disfrutar de un día de relax incluida una breve, pero reparadora caminata, que te permite apreciar la bella naturaleza rodeada de vegetación.",atractivos,positivo
gm_1f140e49d2f1be06,Catarata de Ahuashiyacu,A_representativo,5,"A 20 minutos aprox del centro una bella catarata, ideal para matar el calor y relajarse",atractivos,positivo
gm_08d0143edde09f96,Catarata de Ahuashiyacu,A_representativo,5,"Hermoso lugar en camino a Tarapoto, bonito paisaje m, y se hace una caminata de 15 minutos aprox. subiendo gradas, hay bodegas al inicio y al llegar a la catarata. Se puede nadar en la poza. Muy recomendable",atractivos,positivo
gm_e7c07c51580ef2a2,Catarata de Ahuashiyacu,A_representativo,5,"Hermosa catarata, una pequeña subida con escalones de piedra, poca dificultad. Vale la pena, sus aguas frias pero excelente para refrescarse del calor.",atractivos,positivo
gm_e172fa286fe852a7,Catarata de Ahuashiyacu,A_representativo,5,"Lindo lugar, pese a que no es temporada de lluvias las cataratas son muy vistosas.",atractivos,positivo
gm_2017fbd7c1989073,Circuito Mágico del Agua,A_representativo,5,"There are many different kinds of water fountains. Very enjoyable for children: Papa Noel's House, you can get pictures with many cartoon heroes, on the other side there is a GEEK festival. There is a toilet inside the park, which costs 50 centavos, half of sole, local currency. I find very enjoyable water and music fountain. I saw images on the water from history of Peru and its famous people.",atractivos,positivo
gm_ad38406c1f28f6ba,Circuito Mágico del Agua,A_representativo,5,"Loved it here,I would tell any body visiting lima to go an watch the water history. Cause that's what it really is. It's a stroy telling water work an they have rides in the park For kids an adult. I enjoyed my self here",atractivos,positivo
gm_f092ec3b5a884da4,Circuito Mágico del Agua,A_representativo,4,It is a very nice park with great landscaping and plenty of things to do. I am lowering my review due to the terrible public restrooms in the park.,atractivos,positivo
gm_164c3fff72f042dd,Circuito Mágico del Agua,A_representativo,4,"Nice placee to relax with kids and family, specially during summer time, you can play with the water in some of the fountains. There's also a music show with water and colorful projections.",atractivos,positivo
gm_40065192a246eff4,Circuito Mágico del Agua,A_representativo,5,"Worth the 4 soles it takes to get in, but definitely more fun if you're not alone. There's a show at the largest fountain at 7:15 pm with lasers and projectors. Looks like a good place for a picnic too, wish I could've done that.",atractivos,neutro
gm_716ea0a1285ba3e4,Circuito Mágico del Agua,A_representativo,4,"Fun fountains to view. The show is nice as well. Limited food options inside, though greater selection just outside the main entrance. For 4 soles, it's worth a few hours.",atractivos,positivo
gm_03b0436ffab2c4ee,Circuito Mágico del Agua,A_representativo,4,For S/4 it was a fun activity for groups. Park was clean and meticulously maintained. The light show is scheduled so take note of that. Entry is at Puerta 3 or gate 3. My kids enjoyed the water tunnel the most.,atractivos,positivo
gm_c2d38840997a04af,Circuito Mágico del Agua,A_representativo,5,"Amazing!! 13 fountains, different styles and theme. The park was easy to navigate and not overly crowded. Our tour guide explained everything in both English and Spanish.",atractivos,positivo
gm_1691a487426cca40,Circuito Mágico del Agua,A_representativo,5,"It's a wonderful place to visit at night and Lima, there are a lot of water fountain.",atractivos,positivo
gm_8c92dc8dcbaa0270,Circuito Mágico del Agua,A_representativo,5,"I did not know what to expect when coming here, but it was a pleasant surprise. The 10+ fountains are just amazing to watch and sync with music perfectly. It seems to be a cross between the Bellagio in Las Vegas and the Disneyland electric parade show. The fountains are a great soothing experience to get you out of the hustle and bustle of the busy city of Lima. A great romantic night and rides for kids too.",atractivos,positivo
gm_10eeea8d20ebabc6,Circuito Mágico del Agua,A_representativo,5,We went for the show and it was pretty good. It's not a typical show like at Bellagio in LV. This is mainly a movie projected onto a screen of mist. But it was done well. And it sounded amazing.,atractivos,positivo
gm_22a74b755fa137b7,Circuito Mágico del Agua,A_representativo,4,The pearl of Lima at night. Worth more than 4 soles. It's sad that the staff didn't help arrange those who want to take a nice photo so that you can see people push each other in order to take a good position. Shame.,atractivos,positivo
gm_1febbc240bd8d8ff,Circuito Mágico del Agua,A_representativo,5,I loved this place. I can't describe such beauty animation water. It is a place you will never regret to visit.,atractivos,ausente
gm_faffa2b959ba5037,Circuito Mágico del Agua,A_representativo,5,"I was expecting something dull, but the park is beautiful, amazing collection of fountains. Particularly liked the teapot fountain ( I am British) but the light show was awesome. Put the Las Vegas Bellagio fountains to shame and then some. Ended up being the highlight of a great day! Don't miss it. It's well worth a visit and celebrates Peru's ancient history, flora and fauna...Perfect for a romantic evening or a family trip.Well worth the 4 soles admission!",atractivos,positivo
gm_98d61bf10a75fc94,Circuito Mágico del Agua,A_representativo,5,"Pretty damn amazing, honestly. I don't typically link like tourist attractions and stuff but this was REALLY COOL",atractivos,positivo
gm_59c7c57f9a2adcf5,Circuito Mágico del Agua,A_representativo,5,"Wonderful water park. The fountains and attractions are beautiful. You definitely need to visit it at night. It's a bit smaller than it looks. So be careful and don't miss the 2nd area. A warning, it has parking inside and is big enough for everyone. However, before to arrive, in Petit Thouars avenue there are people who want to deviate you to park far away from the park (Washington park) and charge you for it. Don't follow them. They wear reflective vests and kinda look official but they aren't. Park your car inside the complex.",atractivos,positivo
gm_0903c30b8869ab85,Circuito Mágico del Agua,A_representativo,5,It is a good place to visit in Lima or a weekend in family.,atractivos,ausente
gm_4d99d01b1759e26f,Circuito Mágico del Agua,A_representativo,5,A wonderful family oriented nighttime excursion in downtown Lima. Cost all of $1.25. They actually put a lot of effort into the show with wonderful fountains lights telling the history of the country of Peru. Worth an evening stroll.,atractivos,positivo
gm_428d84e79fab0768,Circuito Mágico del Agua,A_representativo,5,"Awesome light show in the evening! Entrance cost is 4 soles, it was not so crowded. Light show starts at 7.15pm, lasts for 15 minutes",atractivos,neutro
gm_189d6d98ed9f6079,Circuito Mágico del Agua,A_representativo,3,Nice walking place for dollar and half. U should go by 7pm when light show is running. They also have slash water for kids during summer months. U should respect grass on don't sit on unassigned areas,atractivos,neutro
gm_008d2c037442e6f1,Circuito Mágico del Agua,A_representativo,5,Canadian tourist visiting Lima with my daughter. I found this experience very enjoyable and recommend it to everyone. The only downside is the excessive number of vendors immediately outside the site (especially those offering private transportation/taxi services). A real ambush! 🤯,atractivos,positivo
gm_fa0ec4d0926a428a,Circuito Mágico del Agua,A_representativo,5,"Very beautiful park, especially by night, when light effects and music are used with the fountains to create a special atmosphere. The entrance is S/.4 per person.",atractivos,positivo
gm_e354b5d4ff13084d,Circuito Mágico del Agua,A_representativo,5,We haven't had the chance to see it during the night but it is a nice and quite place to relax during the day as well.,atractivos,ausente
gm_fe12a82e5a32be71,Circuito Mágico del Agua,A_representativo,5,"My very favorite place 😍 it's a must go, must see, must experience place while in Lima.",atractivos,positivo
gm_96eec0d0bb1c807f,Circuito Mágico del Agua,A_representativo,5,"An amazing park, definitely make it a point to stay for the special water show, it is absolutely beautiful and breathtaking! Get there early to get seats to the show, otherwise you'll have to sit on the grass. Regardless of where you sit, just be sure to watch the show!",atractivos,positivo
gm_e4f49fb12a96c087,Circuito Mágico del Agua,A_representativo,5,"Lots of different fountains to see, really good value for money as it takes around 2hrs to see it all.",atractivos,positivo
gm_1539b4f824f00566,Circuito Mágico del Agua,A_representativo,5,Surprise package of the city. Amazing fountains. Great to go with family and kids. Take shorts and prepare to get wet. Fantastic !!,atractivos,positivo
gm_29eb5b038cda0e8c,Circuito Mágico del Agua,A_representativo,5,"Awesome place, a variety of fountains with light shows and some interaction. Well worth the 4 soles entry fee.",atractivos,positivo
gm_ebc13e085699be5d,Circuito Mágico del Agua,A_representativo,5,"When I first entered, I was underwhelmed. But after walking around for a while and seeing the different fountains, I realised that there was actually more there than I first anticipated. The main fountains varied their patterns over time, keeping interest alive. They varied from strong jets of water to spray effects and the lighting added further interest. The main Magic Fountain has incredibly powerful jets that shoot water up very high at times and the patterns vary over time well. There is also a fun tunnel made from water that people can walk through, but watch out for idiots that like to disrupt the water jets by putting their hands on the way in order to try to wet other visitors. But the main attraction is the 120 metre Fantasy Fountain, which has a display every 45 minutes or so. During this time, the fountains create a spray onto which projectors display an interesting film about the history of the country. This is mixed with music, lighting and other water jets to very good effect. It only cost 4 Soles to enter and they accept credit cards also. As you might expect, there are also food and drink vendors and toilets inside. There is also a fountain that people can go inside and play in (and get soaking wet).",atractivos,neutro
gm_b5e74d463d923604,Circuito Mágico del Agua,A_representativo,5,"Great for family's and couples. Best at night. Don't forget to watch one of the 3 shows they have, very entertaining.",atractivos,ausente
gm_fde3d2a818899806,Circuito Mágico del Agua,A_representativo,5,"The water fountains in this park are a great attraction. Pictures near the water are fantastic, both during the day and at night when the light show starts.",atractivos,positivo
gm_3713bc6f64cb37a7,Circuito Mágico del Agua,A_representativo,3,"Visited it a on a weekday, and it was extremely crowded, too much to enjoy. The light show was nice - but it was the only thing worth seeing. The rides are expensive, and vibe is far from peaceful, with all the noise and chaos.",atractivos,positivo
gm_172f85ab932ffe1f,Circuito Mágico del Agua,A_representativo,5,Such a great spot for an evening stroll. Best 4 soles I've ever spent.,atractivos,ausente
gm_667011c5d342bcc7,Circuito Mágico del Agua,A_representativo,4,"Lively Nice park, nice light show and good stalls are available for some snacks and light eats.",atractivos,positivo
gm_4629326212bba422,Circuito Mágico del Agua,A_representativo,5,"Biggest fountain park in the world. Most of them are pretty boring, but the lights make them simply amazing (so come here after dark). The highlight is the multimedia show. Simply stunning.",atractivos,positivo
gm_ea04e962fff56d02,Circuito Mágico del Agua,A_representativo,5,"It is a must see, while in Lima. The park even without the fountains was peaceful and beautiful. The music and fountains were amazing. We spent 8 soles for the taxi and 4 soles each to see the evening light and music show. I recommend arriving at 6 and watching the 7:15 show. There are plenty of taxi's to return you home or to your hotel. Ask the taxi how much before jumping in.",atractivos,positivo
gm_292937bb7e557279,Circuito Mágico del Agua,A_representativo,5,Great experience at night...something different and so many fountains and colors...great value and so cheap to enter @$2...well worth it...,atractivos,positivo
gm_d8ba9838fdad003f,Circuito Mágico del Agua,A_representativo,5,"Must visit if you are visiting Lima,Peru. This is a huge park with 10+ amazing fountains! The light and musical fountains shows at night are incredible. You can easily spend 2-3 hrs here watching the spectacular fountains!",atractivos,positivo
gm_b753a928c1a19e5d,Circuito Mágico del Agua,A_representativo,3,"Probably more impressive after dark, when the fountains are lit. Still, it is a quiet enclave from the bustle of Lima.",atractivos,neutro
gm_6cea124cbb63e0f6,Circuito Mágico del Agua,A_representativo,5,"Saw so many dance water fountains but this offers different shows with laser projecting movies on the moving water fountains. Our whole family enjoy the 20mins show. 4 solas to get in. But make sure to get there a bit early to get a good spot. It’s also next to the soccer stadium, hard to get taxi at the game night",atractivos,positivo
gm_6ec925d83c945402,Ciudadela de Kuélap,A_representativo,5,"Actualmente por los temas de conservación hay una recorrido externo. Aún así se puede observar la maravillosa arquitectura. La entrada es libre cada primer domingo de cada mes ✨. El teleférico ayuda a llegar rápido, sin embargo muchas veces se va la corriente eléctrica como me sucedió, pero la empresa te ayuda a trasladarte con movilidad terrestre.",atractivos,positivo
gm_4ca375175758419e,Ciudadela de Kuélap,A_representativo,4,"Exelente, solo q las señoritas de boletería y recepción para subir al bus del teleférico nos quitaron el entusiasmo rapidamente, muy malomuradas. Casi fui un inmoral por no llevar el cambio justo del ticket y la otra solo por hacerle la consulta de la hora de mi ticket. De ahí todos muy amables.",atractivos,ausente
gm_ddbd2e32d6fa91e2,Ciudadela de Kuélap,A_representativo,5,"Conocer la Ciudadela de Kuelap no tiene pierde, para pasar una buena experiencia será importante contar con un buen guía turístico en nuestro caso fue (Sr. Manuel Abanto) nos tocó un día lluvioso y menos mal en la ciudad de Tingo ofrecen los ponchos a solo 5 soles, para llegar hasta la ciudadela la caminata es leve y accesible con espacios para descansar.",atractivos,positivo
gm_1fc76c0fc421fd0a,Ciudadela de Kuélap,A_representativo,5,"Es un sitio arqueológico increíble, tiene carteles explicativos en varios sitios que ya es mucho más que lo que tiene Machupicchu y su entrada es más accesible. Se puede llegar en teleférico desde el poblado Nuevo Tingo y de la estación hay que ascender caminando unos 45 minutos para llegar a las ruinas.",atractivos,positivo
gm_c053f96155e8dc7e,Ciudadela de Kuélap,A_representativo,4,Linda experiencia sino fuera x ser día sábado que x motivos de arreglo de las pistas no funciona hasta la 1 pm..nadie nos lo hizo saber tuvimos que subir una pendiente muy empinada para llegar a la zona 3 y poder ingresar...y solo bajamos x teleférico y no hicimos los 2 viajes...no me parece,atractivos,positivo
gm_94d2603a724dc9ae,Ciudadela de Kuélap,A_representativo,5,Una aventura llena de historia y asombro por tal magnífica edificación en la época de Piedra.,atractivos,negativo
gm_2636cd432deba23f,Ciudadela de Kuélap,A_representativo,5,"Este sitio arqueológico esta en un proceso de refacción , pero aún así la vista desde alli es espectacular, muy interesante la cultura que lo respalda",atractivos,positivo
gm_e71a2b5f299dcedf,Ciudadela de Kuélap,A_representativo,2,During one hour of walking inside the “fortaleza” were three guides. Just said please continue but do not explain anything . They preferred to stay sit down and not do the job or guides. Very bad for an attraction like this,atractivos,negativo
gm_cf5c6ede47c27c04,Ciudadela de Kuélap,A_representativo,5,"Impresionante, deben ir preparados físicamente porque para llegar hay que ascender aproximadamente 600 metros y para entrar hay una escalera empinada, pero vale la pena el esfuerzo.",atractivos,positivo
gm_259c6427981264f7,Ciudadela de Kuélap,A_representativo,5,"Se puede llegar en teleferico o en carro demoran 20 min y 1:30 horas aprox respectivamen, hace bastante frío, se puede subir a caballo o a pie que es una caminata de 25 min aprox tiene lugarea donde descansar, en la parte donde se contrata el caballo se puede comer algo hay de diversos precios y gustos, al llegar a la fortaleza se puede contratar un guia que seria lo recomendable por lo general se forma un grupo grande para que el precio por persona sea mas accesible nos cobraron unos 60 soles el servicio de guia a todo el grupo, recomiendo ir a primer turno porque no hay muchas personas y se tiene más libertad de sacar fotos, cosa a resaltar se debe respetar el sendero y que te pueden sacar de la fortaleza por un incumplimiento de normas (le pasó a una pareja que venia detras nuestro). En general una vista increible llena de historia y cultura.",atractivos,positivo
gm_53fd06fab019d235,Ciudadela de Kuélap,A_representativo,5,"Es un paseo de 2 horas aprox, primero debes tomar el funicular para llegar a donde venden los tickets y de ahí caminar 1 km hasta la Ciudadela. El camino está señalizado pero si deseas conocer algo más sobre los chachapoyas y sus costumbres puedes ir con un guía. La ruta para subir no es muy exigente pero si eres sedentario puede que te cueste un poco. Realmente vale la pena visitar Kuelap.",atractivos,positivo
gm_59bac526257903ae,Ciudadela de Kuélap,A_representativo,5,"What a beauty! Quiet and clean to wander around this magnificent city. The staff were very helpful, they even shared some coca leaves as we felt a bit dizzy up there 🥰 Support tourism around Chachapoyas, they need it and it is a place so rich in heritage! 👣If you have the time San Juan de Sonche has some amazing ruins (Restos Arqueológicos de CAMBOLÍN) and some pictographs (Pinturas Rupestres QUILLQUIKAKA). They also have some caves with old human remains and a beautiful waterfall, shame they don't get enough visitors. If you feel adventurous check my Google reviews for those 2 places on how to get there.",atractivos,positivo
gm_aaaa785e382302cd,Ciudadela de Kuélap,A_representativo,1,"Don’t bother. The site is closed and you can’t even walk along the base of the wall. You pretty much can get to a fence near where the entrance would have been. It sounds like it will be literally years at best before the site reopens. None of the guides or tour operators or people running the site want to admit that their ‘premiere site’ for northern Peru is closed to tourism for possibly a decade. I would vaguely guess they will need to build a roof over the entire structure at some point to keep stormwater from destabilizing the wall any further. Unless the want to tear sections of the wall down, put a drainage system behind the wall, and rebuild it with a modern support / drainage system behind the walls. Anyways this section of the country is fantastic, and you should totally visit it. But don’t pretend you are going to be able to walk around the top of Kuelap anytime this decade.",atractivos,negativo
gm_0388d5b11aea241d,Ciudadela de Kuélap,A_representativo,5,"La experiencia es algo impresionante, las telecabinas es una prueba de vértigo y adrenalina; con una vista de 360 grados. Kuelap ruinas es un lugar fabuloso y espectacular. Tomense el tiempo de mirar cada deyalle. Les recomiendo que busquen toda la información y vayan sin guía por el parque arqueológico. Porque los guías avanzan muy rapido. Totalmente recomendable",atractivos,positivo
gm_dfe4148aa68b005b,Ciudadela de Kuélap,A_representativo,5,"Una hermosa experiencia, les recomiendo que vayan con servicio de guía puesto que es muy importante conocer la historia de este centro arqueológico, los teleféricos son asombroso y la gente de la zona es muy gentil, recomendadazo!!!",atractivos,positivo
gm_e300e7507345336d,Ciudadela de Kuélap,A_representativo,5,"All I can say is wow. This site is amazing, the walk through the historical buildings is beautiful and the view is breathtaking. It isn't a huge sight and there is a 1.4km hike up hill to the actual site once you get off the cable cars but it's worth it (you could rent a horse if you wanted to). It's quite uneven so if mobility is an issue you might need to take care.",atractivos,positivo
gm_067ac11895345a97,Ciudadela de Kuélap,A_representativo,5,This place is a special place. Completely overrated. A must if you're in the area.,atractivos,negativo
gm_4faa9b05eed20b41,Ciudadela de Kuélap,A_representativo,5,Un lugar hermoso con una vista muy extraordinaria muy bello para pasar en familia y muy impresionante con una historia de nuestros antepasados .,atractivos,positivo
gm_68b208fcd2febb68,Ciudadela de Kuélap,A_representativo,5,"La ciudad sagrada me encanta, disfruté del lugar y de una muy grata compañía!!",atractivos,positivo
gm_70a13da2bdcbf76a,Ciudadela de Kuélap,A_representativo,5,Uno de los mejores lugares hermosos y llenos de misterio y energía mágica que visite.,atractivos,positivo
gm_17ff32c64bc4f07e,Ciudadela de Kuélap,A_representativo,5,"Llegar da escala de lo impresionante de este lugar, hoyv2025 llegar por caminos destrozados y pasar por pueblos con plazas bonitas y poco más para mi resulta el marco perfecto para lo grande que es Kuelap!",atractivos,positivo
gm_5bb776a32b431a2c,Ciudadela de Kuélap,A_representativo,2,"Es un complejo turístico arquitectónico de la cultura Chachapoyas, ubicado a más de 3000msnm, esta fortaleza posee tres entradas pero por motivos de restauración a julio 2019 solamente cuenta con un ingreso y otra de salida. Es recomendable viajar en temporada baja, por la cantidad de gente que concurre es un poco complicado poder tener la comodidad de tomarse una foto. Para acceder existen dos vías, la más utilizada es a través de las telecabinas cuyo precio es de S/20.40 por persona de 20min aproximado de viaje a las 300 metros sobre el suelo. Dato desde la estación anexo 2, hay que caminar 20min un acceso fácil desde mi punto de vista, no es necesario arrendar el servicio de caballo cuyo precio es de S/15.00. Existe puntos de comida y venta de souvenir, inclusive antes de ingresar a la fortaleza de precios baratos a comparación de la estación de las telecabinas.",atractivos,positivo
gm_9e9c95ba4a6cb2e3,Ciudadela de Kuélap,A_representativo,5,It's older then anything the Incas built and the sure it's massive. Best thing not crowded. Come up here rather than Cuzco you won't be disappointed,atractivos,negativo
gm_fe852d8350f8157b,Ciudadela de Kuélap,A_representativo,5,"Bellísimo lugar. Primero, la gran experiencia en el teleférico, son 20 minutos de viaje, puede asustar un poco la nubosidad y la subida, traten de distraerse disfruten el paisaje. Segundo. En cuanto llegas al Andén 2 son 20 - 30 minutos de caminata a la ciudad fortificada de Kuélap, los primeros minutos agotan, porque hay que subir bastante por la escalera. Finalmente Kuélap y sus paisajes simplemente bellos!! .",atractivos,positivo
gm_b8f7d2f07be2e3a8,Ciudadela de Kuélap,A_representativo,5,"Me encantó el contacto con la naturaleza, la historia y el misticismo de la zona, la vista es impresionante; treking agotador pero vale la pena",atractivos,positivo
